run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
13; /small-100000-GZIP.parquet; 8; 1000000; GZIP; 100000; 0.944770; 0.000009; 0.000000; 0.000000; 30.517578; 11.071438; 0.362789; 0; 0.000000
14; /small-100000-ZSTD.parquet; 8; 1000000; ZSTD; 100000; 0.325579; 0.000003; 0.000000; 0.000000; 30.517578; 11.846668; 0.388192; 0; 0.000000
15; /small-100000-SNAPPY.parquet; 8; 1000000; SNAPPY; 100000; 0.299467; 0.000003; 0.000000; 0.000000; 30.517578; 12.548379; 0.411185; 0; 0.000000
run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; /small-1000-UNCOMP.parquet; 8; 1000000; UNCOMP; 1000; 2.494256; 0.002494; 0.000000; 0.000000; 30.517578; 19.101540; 0.625919; 0; 0.000000
1; /small-1000-GZIP.parquet; 8; 1000000; GZIP; 1000; 3.967961; 0.003968; 0.000000; 0.000000; 30.517578; 14.301019; 0.468616; 0; 0.000000
2; /small-1000-ZSTD.parquet; 8; 1000000; ZSTD; 1000; 2.671664; 0.002672; 0.000000; 0.000000; 30.517578; 15.114518; 0.495273; 0; 0.000000
3; /small-1000-SNAPPY.parquet; 8; 1000000; SNAPPY; 1000; 2.574086; 0.002574; 0.000000; 0.000000; 30.517578; 19.175606; 0.628346; 0; 0.000000
4; /small-10000-UNCOMP.parquet; 8; 1000000; UNCOMP; 10000; 0.830021; 0.000083; 0.000000; 0.000000; 30.517578; 13.377248; 0.438346; 0; 0.000000
5; /small-10000-GZIP.parquet; 8; 1000000; GZIP; 10000; 1.150674; 0.000115; 0.000000; 0.000000; 30.517578; 11.122612; 0.364466; 0; 0.000000
6; /small-10000-ZSTD.parquet; 8; 1000000; ZSTD; 10000; 0.707588; 0.000071; 0.000000; 0.000000; 30.517578; 11.637820; 0.381348; 0; 0.000000
7; /small-10000-SNAPPY.parquet; 8; 1000000; SNAPPY; 10000; 0.679630; 0.000068; 0.000000; 0.000000; 30.517578; 13.383712; 0.438557; 0; 0.000000
8; /small-50000-UNCOMP.parquet; 8; 1000000; UNCOMP; 50000; 0.335741; 0.000007; 0.000000; 0.000000; 30.517578; 12.569238; 0.411869; 0; 0.000000
9; /small-50000-GZIP.parquet; 8; 1000000; GZIP; 50000; 0.943120; 0.000019; 0.000000; 0.000000; 30.517578; 10.980323; 0.359803; 0; 0.000000
10; /small-50000-ZSTD.parquet; 8; 1000000; ZSTD; 50000; 0.355025; 0.000007; 0.000000; 0.000000; 30.517578; 11.672478; 0.382484; 0; 0.000000
11; /small-50000-SNAPPY.parquet; 8; 1000000; SNAPPY; 50000; 0.331072; 0.000007; 0.000000; 0.000000; 30.517578; 12.568297; 0.411838; 0; 0.000000
12; /small-100000-UNCOMP.parquet; 8; 1000000; UNCOMP; 100000; 0.283621; 0.000003; 0.000000; 0.000000; 30.517578; 12.559417; 0.411547; 0; 0.000000
13; /small-100000-GZIP.parquet; 8; 1000000; GZIP; 100000; 1.036885; 0.000010; 0.000000; 0.000000; 30.517578; 11.071438; 0.362789; 0; 0.000000
14; /small-100000-ZSTD.parquet; 8; 1000000; ZSTD; 100000; 0.292050; 0.000003; 0.000000; 0.000000; 30.517578; 11.846668; 0.388192; 0; 0.000000
15; /small-100000-SNAPPY.parquet; 8; 1000000; SNAPPY; 100000; 0.353314; 0.000004; 0.000000; 0.000000; 30.517578; 12.548379; 0.411185; 0; 0.000000
run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; /small-1000-UNCOMP.parquet; 8; 1000000; UNCOMP; 1000; 2.615786; 0.002616; 0.000000; 0.000000; 30.517578; 19.116798; 0.626419; 0; 0.000000
1; /small-1000-GZIP.parquet; 8; 1000000; GZIP; 1000; 3.658777; 0.003659; 0.000000; 0.000000; 30.517578; 14.315145; 0.469079; 0; 0.000000
2; /small-1000-ZSTD.parquet; 8; 1000000; ZSTD; 1000; 2.253083; 0.002253; 0.000000; 0.000000; 30.517578; 15.115181; 0.495294; 0; 0.000000
3; /small-1000-SNAPPY.parquet; 8; 1000000; SNAPPY; 1000; 1.807291; 0.001807; 0.000000; 0.000000; 30.517578; 19.190750; 0.628842; 0; 0.000000
4; /small-10000-UNCOMP.parquet; 8; 1000000; UNCOMP; 10000; 0.515656; 0.000052; 0.000000; 0.000000; 30.517578; 13.379537; 0.438421; 0; 0.000000
5; /small-10000-GZIP.parquet; 8; 1000000; GZIP; 10000; 1.021063; 0.000102; 0.000000; 0.000000; 30.517578; 11.125559; 0.364562; 0; 0.000000
6; /small-10000-ZSTD.parquet; 8; 1000000; ZSTD; 10000; 0.489467; 0.000049; 0.000000; 0.000000; 30.517578; 11.640761; 0.381444; 0; 0.000000
