run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; small1024; 8; 1000000; NONE; 1024; 5.431222; 0.005562; 0.000000; 0.000000; 30.517578; 14.011719; 0.459136; 0; 0.000000
1; small8192; 8; 1000000; NONE; 8192; 2.172735; 0.017799; 0.000000; 0.000000; 30.517578; 14.261719; 0.467328; 0; 0.000000
2; small32768; 8; 1000000; NONE; 32768; 1.908480; 0.062537; 0.000000; 0.000000; 30.517578; 17.511719; 0.573824; 0; 0.000000
3; small131072; 8; 1000000; NONE; 131072; 1.183882; 0.155174; 0.000000; 0.000000; 30.517578; 15.511719; 0.508288; 0; 0.000000
4; small524288; 8; 1000000; NONE; 524288; 1.174731; 0.615897; 0.000000; 0.000000; 30.517578; 11.511719; 0.377216; 0; 0.000000
5; small1000000; 8; 1000000; NONE; 1000000; 1.142093; 1.142093; 0.000000; 0.000000; 30.517578; 10.761719; 0.352640; 0; 0.000000
