run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; big32768; 8; 60267138; NONE; 32768; 107.102654; 0.058233; 0.000000; 0.000000; 1839.207031; 874.261719; 0.475347; 0; 0.000000
1; big131072; 8; 60267138; NONE; 131072; 74.022614; 0.160988; 0.000000; 0.000000; 1839.207031; 841.511719; 0.457541; 0; 0.000000
2; big524288; 8; 60267138; NONE; 524288; 73.261932; 0.637335; 0.000000; 0.000000; 1839.207031; 615.761719; 0.334797; 0; 0.000000
3; big1000000; 8; 60267138; NONE; 1000000; 72.982521; 1.210984; 0.000000; 0.000000; 1839.207031; 602.761719; 0.327729; 0; 0.000000
