run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; small1024; 8; 1000000; NONE; 1024; 7.090032; 0.006924; 0.000000; 0.000000; 30.517578; 14.011719; 0.459136; 0; 0.000000
1; small8192; 8; 1000000; NONE; 8192; 2.471786; 0.000302; 0.000000; 0.000000; 30.517578; 14.261719; 0.467328; 0; 0.000000
2; small32768; 8; 1000000; NONE; 32768; 1.729854; 0.000053; 0.000000; 0.000000; 30.517578; 17.511719; 0.573824; 0; 0.000000
3; small131072; 8; 1000000; NONE; 131072; 1.297434; 0.000010; 0.000000; 0.000000; 30.517578; 15.511719; 0.508288; 0; 0.000000
