run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; small1024; 8; 1000000; NONE; 1024; 5.847999; 0.005988; 2.554950; 0.002615; 30.517578; 29.761719; 0.975232; 0; 0.000000
1; small8192; 8; 1000000; NONE; 8192; 3.206672; 0.026269; 1.281120; 0.010416; 30.517578; 30.011719; 0.983424; 0; 0.000000
2; small32768; 8; 1000000; NONE; 32768; 1.790079; 0.058657; 1.063961; 0.034321; 30.517578; 30.511719; 0.999808; 0; 0.000000
3; small131072; 8; 1000000; NONE; 131072; 1.273567; 0.166929; 1.073156; 0.134145; 30.517578; 29.511719; 0.967040; 0; 0.000000
4; small524288; 8; 1000000; NONE; 524288; 1.118135; 0.586225; 1.162934; 0.581467; 30.517578; 21.511719; 0.704896; 0; 0.000000
5; small1000000; 8; 1000000; NONE; 1000000; 1.146420; 1.146420; 1.109762; 1.109762; 30.517578; 20.761719; 0.680320; 0; 0.000000
