run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
40 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 100 0.004367
41 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 100000 0.043326
42 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 50000 0.028041
43 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 25000 0.015071
44 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 1000 0.004946
45 /small-10000-GZIP.parquet 8 1000000 GZIP 10000 1.071982 0.000107 0.375693 0.000038 30.517578 11.122612 0.364466 100 0.007405
46 /small-10000-GZIP.parquet 8 1000000 GZIP 10000 1.071982 0.000107 0.375693 0.000038 30.517578 11.122612 0.364466 100000 0.058416
47 /small-10000-GZIP.parquet 8 1000000 GZIP 10000 1.071982 0.000107 0.375693 0.000038 30.517578 11.122612 0.364466 50000 0.037192
48 /small-10000-GZIP.parquet 8 1000000 GZIP 10000 1.071982 0.000107 0.375693 0.000038 30.517578 11.122612 0.364466 25000 0.020880
49 /small-10000-GZIP.parquet 8 1000000 GZIP 10000 1.071982 0.000107 0.375693 0.000038 30.517578 11.122612 0.364466 1000 0.010269
50 /small-10000-ZSTD.parquet 8 1000000 ZSTD 10000 0.522695 0.000052 0.295802 0.000030 30.517578 11.637820 0.381348 100 0.005795
51 /small-10000-ZSTD.parquet 8 1000000 ZSTD 10000 0.522695 0.000052 0.295802 0.000030 30.517578 11.637820 0.381348 100000 0.047004
52 /small-10000-ZSTD.parquet 8 1000000 ZSTD 10000 0.522695 0.000052 0.295802 0.000030 30.517578 11.637820 0.381348 50000 0.027063
53 /small-10000-ZSTD.parquet 8 1000000 ZSTD 10000 0.522695 0.000052 0.295802 0.000030 30.517578 11.637820 0.381348 25000 0.013706
54 /small-10000-ZSTD.parquet 8 1000000 ZSTD 10000 0.522695 0.000052 0.295802 0.000030 30.517578 11.637820 0.381348 1000 0.005254
55 /small-10000-SNAPPY.parquet 8 1000000 SNAPPY 10000 0.494684 0.000049 0.315053 0.000032 30.517578 13.383712 0.438557 100 0.005187
56 /small-10000-SNAPPY.parquet 8 1000000 SNAPPY 10000 0.494684 0.000049 0.315053 0.000032 30.517578 13.383712 0.438557 100000 0.045812
57 /small-10000-SNAPPY.parquet 8 1000000 SNAPPY 10000 0.494684 0.000049 0.315053 0.000032 30.517578 13.383712 0.438557 50000 0.024514
58 /small-10000-SNAPPY.parquet 8 1000000 SNAPPY 10000 0.494684 0.000049 0.315053 0.000032 30.517578 13.383712 0.438557 25000 0.013263
59 /small-10000-SNAPPY.parquet 8 1000000 SNAPPY 10000 0.494684 0.000049 0.315053 0.000032 30.517578 13.383712 0.438557 1000 0.004871
60 /small-50000-UNCOMP.parquet 8 1000000 UNCOMP 50000 0.310078 0.000006 0.497665 0.000010 30.517578 12.569238 0.411869 100 0.022865
61 /small-50000-UNCOMP.parquet 8 1000000 UNCOMP 50000 0.310078 0.000006 0.497665 0.000010 30.517578 12.569238 0.411869 100000 0.056475
62 /small-50000-UNCOMP.parquet 8 1000000 UNCOMP 50000 0.310078 0.000006 0.497665 0.000010 30.517578 12.569238 0.411869 50000 0.037547
63 /small-50000-UNCOMP.parquet 8 1000000 UNCOMP 50000 0.310078 0.000006 0.497665 0.000010 30.517578 12.569238 0.411869 25000 0.020721
64 /small-50000-UNCOMP.parquet 8 1000000 UNCOMP 50000 0.310078 0.000006 0.497665 0.000010 30.517578 12.569238 0.411869 1000 0.021357
65 /small-50000-GZIP.parquet 8 1000000 GZIP 50000 0.962119 0.000019 0.360017 0.000007 30.517578 10.980323 0.359803 100 0.031073
66 /small-50000-GZIP.parquet 8 1000000 GZIP 50000 0.962119 0.000019 0.360017 0.000007 30.517578 10.980323 0.359803 100000 0.074204
67 /small-50000-GZIP.parquet 8 1000000 GZIP 50000 0.962119 0.000019 0.360017 0.000007 30.517578 10.980323 0.359803 50000 0.055818
68 /small-50000-GZIP.parquet 8 1000000 GZIP 50000 0.962119 0.000019 0.360017 0.000007 30.517578 10.980323 0.359803 25000 0.032871
69 /small-50000-GZIP.parquet 8 1000000 GZIP 50000 0.962119 0.000019 0.360017 0.000007 30.517578 10.980323 0.359803 1000 0.031254
70 /small-50000-ZSTD.parquet 8 1000000 ZSTD 50000 0.354681 0.000007 0.327364 0.000007 30.517578 11.672478 0.382484 100 0.022304
71 /small-50000-ZSTD.parquet 8 1000000 ZSTD 50000 0.354681 0.000007 0.327364 0.000007 30.517578 11.672478 0.382484 100000 0.057857
72 /small-50000-ZSTD.parquet 8 1000000 ZSTD 50000 0.354681 0.000007 0.327364 0.000007 30.517578 11.672478 0.382484 50000 0.039782
73 /small-50000-ZSTD.parquet 8 1000000 ZSTD 50000 0.354681 0.000007 0.327364 0.000007 30.517578 11.672478 0.382484 25000 0.021914
74 /small-50000-ZSTD.parquet 8 1000000 ZSTD 50000 0.354681 0.000007 0.327364 0.000007 30.517578 11.672478 0.382484 1000 0.021792
75 /small-50000-SNAPPY.parquet 8 1000000 SNAPPY 50000 0.310986 0.000006 0.282733 0.000006 30.517578 12.568297 0.411838 100 0.023231
76 /small-50000-SNAPPY.parquet 8 1000000 SNAPPY 50000 0.310986 0.000006 0.282733 0.000006 30.517578 12.568297 0.411838 100000 0.055174
77 /small-50000-SNAPPY.parquet 8 1000000 SNAPPY 50000 0.310986 0.000006 0.282733 0.000006 30.517578 12.568297 0.411838 50000 0.039008
78 /small-50000-SNAPPY.parquet 8 1000000 SNAPPY 50000 0.310986 0.000006 0.282733 0.000006 30.517578 12.568297 0.411838 25000 0.020483
79 /small-50000-SNAPPY.parquet 8 1000000 SNAPPY 50000 0.310986 0.000006 0.282733 0.000006 30.517578 12.568297 0.411838 1000 0.020392
80 /small-100000-UNCOMP.parquet 8 1000000 UNCOMP 100000 0.280978 0.000003 0.285892 0.000003 30.517578 12.559417 0.411547 100 0.045442
81 /small-100000-UNCOMP.parquet 8 1000000 UNCOMP 100000 0.280978 0.000003 0.285892 0.000003 30.517578 12.559417 0.411547 100000 0.066627
82 /small-100000-UNCOMP.parquet 8 1000000 UNCOMP 100000 0.280978 0.000003 0.285892 0.000003 30.517578 12.559417 0.411547 50000 0.039248
83 /small-100000-UNCOMP.parquet 8 1000000 UNCOMP 100000 0.280978 0.000003 0.285892 0.000003 30.517578 12.559417 0.411547 25000 0.040287
